radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,9859,199578376,-1,-80.9554,35.0617,765,47,1,1685969363,1774981391,0
LTE,310,410,10525,23033518,-1,-82.0874,35.2841,15561,12,1,1686654177,1776275222,0
LTE,310,410,9900,199292689,-1,-82.01,35.2913,3586,19,1,1686654347,1779922741,0
LTE,310,410,9876,199659969,-1,-80.6353,35.0599,10996,23,1,1685987101,1740579727,0
LTE,310,410,9869,199555990,-1,-80.7304,35.0812,751,31,1,1686675573,1776351071,0
LTE,310,260,31691,15712268,-1,-80.6908,35.1103,1000,23,1,1685509748,1772843542,0
LTE,310,410,9869,199455638,-1,-80.8569,35.0909,1000,21,1,1686763273,1778032805,0
LTE,310,410,9869,199179692,-1,-80.7871,35.0445,1089,25,1,1686851671,1750212967,0
LTE,310,410,9869,197131700,-1,-80.79,35.0374,1089,14,1,1686852091,1739595842,0
LTE,310,410,9877,199574702,-1,-80.6537,35.2009,1664,23,1,1687010068,1749818762,0
LTE,310,260,31720,16083211,-1,-79.9921,32.8203,1906,50,1,1671190108,1740779779,0
LTE,310,260,31720,36860942,-1,-80.0041,32.8408,2121,26,1,1671190162,1740779779,0
LTE,310,260,31720,16091907,-1,-79.9859,32.8138,2426,31,1,1671190192,1775940305,0
LTE,310,260,31720,16088589,-1,-79.9721,32.842,1207,50,1,1671190262,1740779778,0
LTE,310,260,31720,16088588,-1,-79.9697,32.8406,2040,50,1,1671190292,1740779778,0
LTE,310,260,32534,67914508,-1,-80.9566,32.3007,1847,42,1,1671183872,1752441481,0
LTE,310,260,32534,43128853,-1,-80.9398,32.2933,971,30,1,1671183882,1752346862,0
LTE,310,260,32534,43634455,-1,-80.801,32.3808,4823,24,1,1671184532,1741049251,0
LTE,310,260,32534,43419413,-1,-80.8494,32.3713,2525,51,1,1671184552,1741049250,0
LTE,310,260,32534,223597324,-1,-80.8214,32.3726,1534,31,1,1671184602,1741049535,0
LTE,310,260,32534,223288579,-1,-80.7266,32.4441,1492,31,1,1671185402,1741049548,0
LTE,310,260,32534,69060631,-1,-80.7492,32.5257,888,30,1,1671185772,1741049254,0
LTE,310,260,31720,38373911,-1,-80.542,32.7445,2350,50,1,1671187082,1772324698,0
LTE,310,260,31720,227710999,-1,-80.1891,32.7771,2176,43,1,1671188482,1772324706,0
LTE,310,260,31720,16030723,-1,-80.0961,32.7862,1922,50,1,1671189132,1740779771,0
LTE,310,260,31720,16083212,-1,-79.9962,32.8041,882,50,1,1671189992,1740779779,0
LTE,310,410,9877,199573775,-1,-80.5496,35.1144,1415,50,1,1687107773,1753804516,0
LTE,310,410,9880,199539862,-1,-80.7606,35.2066,1479,23,1,1687451383,1746358598,0
LTE,310,410,9874,197425845,-1,-80.7993,35.2108,500,26,1,1687451793,1770402906,0
LTE,310,410,9876,199498902,-1,-80.7334,34.9976,1704,11,1,1687543303,1750212974,0
LTE,310,410,9876,199604496,-1,-80.7784,34.9748,2771,21,1,1687543733,1741005437,0
LTE,310,410,9876,199191569,-1,-80.7451,34.9859,1805,17,1,1687543753,1741005437,0
LTE,310,410,9869,199664835,-1,-80.6762,35.0694,1650,30,1,1687608109,1755784509,0
LTE,310,410,9881,199176643,-1,-81.143,35.2667,1000,17,1,1687779459,1776270661,0
LTE,310,410,9869,199518380,-1,-80.6834,35.0719,513,50,1,1687860850,1740061275,0
LTE,310,410,9869,197582517,-1,-80.734,35.0981,1215,21,1,1687888318,1747572123,0
